id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
165,VIRO GRIP PM SOBRE X 2 GEL CAP CAJA X 24,"{'SOBRE': [2, 5.0], 'CAJA': [24, 60.0]}",Cápsula,"Alivio de los síntomas de gripa y resfriado, como fiebre, dolor de cabeza, congestión nasal y dolor de cuerpo","Paracetamol, Clorfenamina, Fenilefrina","Tomar 1 cápsula cada 6 horas, no exceder de 4 cápsulas en 24 horas","Analgésico, antipirético, antihistamínico y descongestionante nasal",165,47.0,2.81,5.0,0.438,132.07,235.0
166,VIROGRIP NF LIMON POLVO AM X 24 SOBRES,"{'CAJA': [24, 120.0], 'SOBRE': [1, 5.0]}",Polvo para preparar solución oral,Tratamiento de los síntomas del resfriado común y la gripe,"Paracetamol, Fenilefrina, Clorfenamina",1 sobre cada 6 horas,"Analgésico, Descongestionante nasal, Antihistamínico",166,31.0,3.047,5.0,0.3905999999999999,94.457,155.0
167,VIROGRIP NF LIMON POLVO PM X 24 SOBRES,"{'CAJA': [24, 120.0], 'SOBRE': [1, 5.0]}",Polvo para preparar solución oral,Tratamiento sintomático del resfriado común y la gripe,"Paracetamol, Fenilefrina, Clorfenamina",1 sobre cada 6 horas,"Analgésico, descongestionante nasal, antihistamínico",167,19.0,3.13,5.0,0.374,59.47,95.0
168,VITAMINA K AMPOLLA SELEC,"{'AMPOLLA': [1, 8.0]}",Ampolla,Suplemento de vitamina K para tratar deficiencias o trastornos de coagulación,Vitamina K,"La dosis recomendada varía según la condición a tratar, consultar con un profesional de la salud",Ayuda en la coagulación de la sangre,168,7.0,4.3,8.0,0.4625,30.1,56.0
169,VITAMINAS PARA DIABETICOS CAJA X 30  BLIST X 10 GELCAPS,"{'CAJA': [30, 75.0], 'BLISTER': [10, 25.0]}",GELCAPS,Suplemento de vitaminas para diabéticos,Vitaminas,"30 cápsulas por caja, 10 cápsulas por blíster",Suplemento vitamínico para personas con diabetes,169,4.0,15.38,25.0,0.3848,61.52,100.0
170,WARFARINA 5 MG BLIST X 10,"{'BLISTER': [10, 2.5]}",Tableta,Anticoagulante utilizado para prevenir la formación de coágulos sanguíneos y reducir el riesgo de accidentes cerebrovasculares y ataques cardíacos,Warfarina,5 mg,Anticoagulante,170,20.0,1.195,2.5,0.522,23.9,50.0
171,ZETAWIN FORTE 1G CAJA X 20 TAB BLIST X 10,"{'CAJA': [20, 11.4], 'BLISTER': [10, 5.7]}",Tableta,Analgésico y antipirético,Paracetamol,1 tableta cada 6 horas,Alivio del dolor y reducción de la fiebre,171,9.0,3.337,5.7,0.4145614035087719,30.033,51.3
172,ZINC 15 MG GEL BLISTER X 10  CAJA X 50,"{'BLISTER': [10, 7.0], 'CAJA': [50, 35.0]}",Gel Blister,Suplemento de zinc,Zinc,15 mg,Suplemento mineral,172,7.0,3.95,7.0,0.4357142857142856,27.65,49.0
173,ZINC 20 MG CAJA X 100  BLIST X 10 TAB CAPLIN,"{'CAJA': [100, 40.0], 'BLISTER': [10, 4.0]}",Tableta,Suplemento dietético para prevenir deficiencia de zinc,Zinc,20 mg,Suplemento mineral,173,8.0,2.5,4.0,0.375,20.0,32.0
174,ZINKVANZ (ZINC)10MG/5ML JBE 120ML SEVEN,"{'JARABE': [1, 69.0]}",Jarabe,Suplemento de zinc para el tratamiento de deficiencias de este mineral en el organismo,Zinc,10mg/5ml,Suplemento mineral,174,1.0,41.05,69.0,0.405072463768116,41.05,69.0
175,ZORRITONE JARABE 120 ML,"{'JARABE': [1, 33.0]}",Jarabe,Alivio de la tos y la congestión nasal,"Clorfenamina, Fenilefrina",Adultos y niños mayores de 12 años: 10 ml cada 6 horas. Niños de 6 a 12 años: 5 ml cada 6 horas.,Antihistamínico y descongestionante nasal,175,2.0,20.95,33.0,0.3651515151515151,41.9,66.0
